,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
242,2021-08-13 12:30:00,29.445526857027364,40.285591119818505,53.79784625191576,29.445526857027364,29.445526857027364,17.49770645683525,17.49770645683525,17.49770645683525,17.49770645683525,17.49770645683525,17.49770645683525,0.0,0.0,0.0,46.94323331386261
243,2021-08-13 12:45:00,29.445422148354766,38.86745241813977,52.129425868387735,29.445422148354766,29.445422148354766,15.974319152056676,15.974319152056676,15.974319152056676,15.974319152056676,15.974319152056676,15.974319152056676,0.0,0.0,0.0,45.419741300411445
244,2021-08-13 13:00:00,29.445317439682167,39.02039584478132,52.09385598876157,29.445317439682167,29.445317439682167,16.093943158156975,16.093943158156975,16.093943158156975,16.093943158156975,16.093943158156975,16.093943158156975,0.0,0.0,0.0,45.539260597839146
245,2021-08-13 13:15:00,29.445212731009573,40.27909760427003,53.73711534667555,29.445212731009573,29.445212731009573,17.564016223889567,17.564016223889567,17.564016223889567,17.564016223889567,17.564016223889567,17.564016223889567,0.0,0.0,0.0,47.00922895489914
246,2021-08-13 13:30:00,29.44510802301559,41.98608096269849,55.70847315130493,29.44510802301559,29.44510802301559,19.355017305813252,19.355017305813252,19.355017305813252,19.355017305813252,19.355017305813252,19.355017305813252,0.0,0.0,0.0,48.80012532882884
247,2021-08-13 13:45:00,29.445003315021605,43.731486256701984,56.628534976720125,29.445003315021605,29.445003315021605,20.557632285174893,20.557632285174893,20.557632285174893,20.557632285174893,20.557632285174893,20.557632285174893,0.0,0.0,0.0,50.0026356001965
248,2021-08-13 14:00:00,29.44489860702762,43.71862752904307,57.36295295153295,29.44489860702762,29.44489860702762,21.138141031458616,21.138141031458616,21.138141031458616,21.138141031458616,21.138141031458616,21.138141031458616,0.0,0.0,0.0,50.58303963848624
249,2021-08-13 14:15:00,29.444793899033638,44.826684943670244,57.87997698771712,29.444793899033638,29.444793899033638,21.924143400322837,21.924143400322837,21.924143400322837,21.924143400322837,21.924143400322837,21.924143400322837,0.0,0.0,0.0,51.368937299356475
250,2021-08-13 14:30:00,29.444689191039654,46.71433556450016,59.773531608862314,29.444689191039654,29.444689191039654,23.777593979596094,23.777593979596094,23.777593979596094,23.777593979596094,23.777593979596094,23.777593979596094,0.0,0.0,0.0,53.22228317063575
251,2021-08-13 14:45:00,29.444584483045677,49.435443110002396,62.852614973366485,29.444584483045677,29.444584483045677,26.620791719573973,26.620791719573973,26.620791719573973,26.620791719573973,26.620791719573973,26.620791719573973,0.0,0.0,0.0,56.065376202619646
