,Training,TrueValue,SARIMA,SARIMAX,Prophet,XGBoost
8/13/2021 0:45,12.33333333,,,,,
8/13/2021 1:00,12.93333333,,,,,
8/13/2021 1:15,14.93333333,,,,,
8/13/2021 1:30,14.33333333,,,,,
8/13/2021 1:45,10.06666667,,,,,
8/13/2021 2:00,16.6,,,,,
8/13/2021 2:15,14.8,,,,,
8/13/2021 2:30,9.533333333,,,,,
8/13/2021 2:45,6.666666667,,,,,
8/13/2021 3:00,5.866666667,,,,,
8/13/2021 3:15,9.466666667,,,,,
8/13/2021 3:30,6.4,,,,,
8/13/2021 3:45,7.466666667,,,,,
8/13/2021 4:00,8.933333333,,,,,
8/13/2021 4:15,11.4,,,,,
8/13/2021 4:30,8.8,,,,,
8/13/2021 4:45,6.333333333,,,,,
8/13/2021 5:00,8.066666667,,,,,
8/13/2021 5:15,8.466666667,,,,,
8/13/2021 5:30,12,,,,,
8/13/2021 5:45,14.93333333,,,,,
8/13/2021 6:00,21.53333333,,,,,
8/13/2021 6:15,24.2,,,,,
8/13/2021 6:30,22,,,,,
8/13/2021 6:45,12.6,,,,,
8/13/2021 7:00,16.73333333,,,,,
8/13/2021 7:15,13.73333333,,,,,
8/13/2021 7:30,15.33333333,,,,,
8/13/2021 7:45,11.73333333,,,,,
8/13/2021 8:00,10.66666667,,,,,
8/13/2021 8:15,30.86666667,,,,,
8/13/2021 8:30,50.53333333,,,,,
8/13/2021 8:45,58.2,,,,,
8/13/2021 9:00,55.4,,,,,
8/13/2021 9:15,59.73333333,,,,,
8/13/2021 9:30,52.66666667,,,,,
8/13/2021 9:45,45.66666667,,,,,
8/13/2021 10:00,37.53333333,,,,,
8/13/2021 10:15,40.6,,,,,
8/13/2021 10:30,46.4,,,,,
8/13/2021 10:45,45.46666667,,,,,
8/13/2021 11:00,43.93333333,,,,,
8/13/2021 11:15,52.53333333,,,,,
8/13/2021 11:30,51.06666667,,,,,
8/13/2021 11:45,52.46666667,,,,,
8/13/2021 12:00,53.06666667,,,,,
8/13/2021 12:15,44.86666667,,,,,
8/13/2021 12:30,51.4,,,,,
8/13/2021 12:45,52,,,,,
8/13/2021 13:00,47.33333333,,,,,
8/13/2021 13:15,51.73333333,,,,,
8/13/2021 13:30,51.06666667,,,,,
8/13/2021 13:45,54.4,,,,,
8/13/2021 14:00,57,,,,,
8/13/2021 14:15,58.6,,,,,
8/13/2021 14:30,64.2,,,,,
8/13/2021 14:45,61.2,,,,,
8/13/2021 15:00,55.8,,,,,
8/13/2021 15:15,57.66666667,,,,,
8/13/2021 15:30,59.8,,,,,
8/13/2021 15:45,57.33333333,,,,,
8/13/2021 16:00,49.6,,,,,
8/13/2021 16:15,44.93333333,,,,,
8/13/2021 16:30,43.66666667,,,,,
8/13/2021 16:45,52.53333333,,,,,
8/13/2021 17:00,50.93333333,,,,,
8/13/2021 17:15,52.06666667,,,,,
8/13/2021 17:30,35.73333333,,,,,
8/13/2021 17:45,33.73333333,,,,,
8/13/2021 18:00,22.13333333,,,,,
8/13/2021 18:15,27.06666667,,,,,
8/13/2021 18:30,26,,,,,
8/13/2021 18:45,25.8,,,,,
8/13/2021 19:00,25.46666667,,,,,
8/13/2021 19:15,24.66666667,,,,,
8/13/2021 19:30,22.13333333,,,,,
8/13/2021 19:45,20.86666667,,,,,
8/13/2021 20:00,21.8,,,,,
8/13/2021 20:15,19,,,,,
8/13/2021 20:30,16.53333333,,,,,
8/13/2021 20:45,17.6,,,,,
8/13/2021 21:00,14.46666667,,,,,
8/13/2021 21:15,15.06666667,,,,,
8/13/2021 21:30,25.2,,,,,
8/13/2021 21:45,31.66666667,,,,,
8/13/2021 22:00,23.53333333,,,,,
8/13/2021 22:15,17.73333333,,,,,
8/13/2021 22:30,8.8,,,,,
8/13/2021 22:45,10.8,,,,,
8/13/2021 23:00,11.86666667,,,,,
8/13/2021 23:15,14.06666667,,,,,
8/13/2021 23:30,12.06666667,,,,,
8/13/2021 23:45,10.46666667,,,,,
8/14/2021 0:00,8.266666667,,,,,
8/14/2021 0:15,11.6,,,,,
8/14/2021 0:30,10.13333333,,,,,
8/14/2021 0:45,7.933333333,,,,,
8/14/2021 1:00,6.266666667,,,,,
8/14/2021 1:15,9.2,,,,,
8/14/2021 1:30,13.73333333,,,,,
8/14/2021 1:45,12.53333333,,,,,
8/14/2021 2:00,15.26666667,,,,,
8/14/2021 2:15,11.13333333,,,,,
8/14/2021 2:30,13.93333333,,,,,
8/14/2021 2:45,8.866666667,,,,,
8/14/2021 3:00,13.2,,,,,
8/14/2021 3:15,15.8,,,,,
8/14/2021 3:30,13,,,,,
8/14/2021 3:45,16,,,,,
8/14/2021 4:00,12,,,,,
8/14/2021 4:15,13.06666667,,,,,
8/14/2021 4:30,7.8,,,,,
8/14/2021 4:45,18.53333333,,,,,
8/14/2021 5:00,10.6,,,,,
8/14/2021 5:15,17.26666667,,,,,
8/14/2021 5:30,15.6,,,,,
8/14/2021 5:45,18.53333333,,,,,
8/14/2021 6:00,20.26666667,,,,,
8/14/2021 6:15,6.333333333,,,,,
8/14/2021 6:30,10.2,,,,,
8/14/2021 6:45,9.6,,,,,
8/14/2021 7:00,9.266666667,,,,,
8/14/2021 7:15,10.33333333,,,,,
8/14/2021 7:30,9.266666667,,,,,
8/14/2021 7:45,7.666666667,,,,,
8/14/2021 8:00,8.666666667,,,,,
8/14/2021 8:15,34.46666667,,,,,
8/14/2021 8:30,55.8,,,,,
8/14/2021 8:45,57.46666667,,,,,
8/14/2021 9:00,55.2,,,,,
8/14/2021 9:15,53.46666667,,,,,
8/14/2021 9:30,53.8,,,,,
8/14/2021 9:45,55.26666667,,,,,
8/14/2021 10:00,52.73333333,,,,,
8/14/2021 10:15,39.6,,,,,
8/14/2021 10:30,46.4,,,,,
8/14/2021 10:45,51.73333333,,,,,
8/14/2021 11:00,48.66666667,,,,,
8/14/2021 11:15,55.66666667,,,,,
8/14/2021 11:30,58.46666667,,,,,
8/14/2021 11:45,61.26666667,,,,,
8/14/2021 12:00,50.6,,,,,
8/14/2021 12:15,44.73333333,,,,,
8/14/2021 12:30,50.93333333,,,,,
8/14/2021 12:45,45.66666667,,,,,
8/14/2021 13:00,48.33333333,,,,,
8/14/2021 13:15,46.6,,,,,
8/14/2021 13:30,39.8,,,,,
8/14/2021 13:45,45.73333333,,,,,
8/14/2021 14:00,50.86666667,,,,,
8/14/2021 14:15,57.86666667,,,,,
8/14/2021 14:30,54.4,,,,,
8/14/2021 14:45,54.53333333,,,,,
8/14/2021 15:00,61.4,,,,,
8/14/2021 15:15,56.46666667,,,,,
8/14/2021 15:30,58.73333333,,,,,
8/14/2021 15:45,59.73333333,,,,,
8/14/2021 16:00,50.8,,,,,
8/14/2021 16:15,46.66666667,,,,,
8/14/2021 16:30,41.26666667,,,,,
8/14/2021 16:45,39,,,,,
8/14/2021 17:00,43.66666667,,,,,
8/14/2021 17:15,43,,,,,
8/14/2021 17:30,28.6,,,,,
8/14/2021 17:45,32.73333333,,,,,
8/14/2021 18:00,24.93333333,,,,,
8/14/2021 18:15,21,,,,,
8/14/2021 18:30,17.53333333,,,,,
8/14/2021 18:45,21.86666667,,,,,
8/14/2021 19:00,20.33333333,,,,,
8/14/2021 19:15,17.66666667,,,,,
8/14/2021 19:30,20.46666667,,,,,
8/14/2021 19:45,22.06666667,,,,,
8/14/2021 20:00,18.66666667,,,,,
8/14/2021 20:15,22.93333333,,,,,
8/14/2021 20:30,13,,,,,
8/14/2021 20:45,17,,,,,
8/14/2021 21:00,18,,,,,
8/14/2021 21:15,15.13333333,,,,,
8/14/2021 21:30,24.26666667,,,,,
8/14/2021 21:45,21.6,,,,,
8/14/2021 22:00,15.66666667,,,,,
8/14/2021 22:15,17.53333333,,,,,
8/14/2021 22:30,16.46666667,,,,,
8/14/2021 22:45,13.73333333,,,,,
8/14/2021 23:00,26.93333333,,,,,
8/14/2021 23:15,21.26666667,,,,,
8/14/2021 23:30,22.06666667,,,,,
8/14/2021 23:45,19.86666667,,,,,
8/15/2021 0:00,12.8,,,,,
8/15/2021 0:15,14.86666667,,,,,
8/15/2021 0:30,19.73333333,,,,,
8/15/2021 0:45,19.66666667,,,,,
8/15/2021 1:00,8.533333333,,,,,
8/15/2021 1:15,17.13333333,,,,,
8/15/2021 1:30,20.66666667,,,,,
8/15/2021 1:45,14.93333333,,,,,
8/15/2021 2:00,16.33333333,,,,,
8/15/2021 2:15,9.533333333,,,,,
8/15/2021 2:30,16.26666667,,,,,
8/15/2021 2:45,16.86666667,,,,,
8/15/2021 3:00,16,,,,,
8/15/2021 3:15,17.53333333,,,,,
8/15/2021 3:30,20.46666667,,,,,
8/15/2021 3:45,20.26666667,,,,,
8/15/2021 4:00,18.06666667,,,,,
8/15/2021 4:15,14.46666667,,,,,
8/15/2021 4:30,19.53333333,,,,,
8/15/2021 4:45,23.33333333,,,,,
8/15/2021 5:00,22.6,,,,,
8/15/2021 5:15,23,,,,,
8/15/2021 5:30,20.06666667,,,,,
8/15/2021 5:45,20,,,,,
8/15/2021 6:00,16.53333333,,,,,
8/15/2021 6:15,21.06666667,,,,,
8/15/2021 6:30,16.06666667,,,,,
8/15/2021 6:45,10.13333333,,,,,
8/15/2021 7:00,9.266666667,,,,,
8/15/2021 7:15,9.6,,,,,
8/15/2021 7:30,7.2,,,,,
8/15/2021 7:45,8,,,,,
8/15/2021 8:00,20.8,,,,,
8/15/2021 8:15,55.33333333,,,,,
8/15/2021 8:30,62.2,,,,,
8/15/2021 8:45,67.26666667,,,,,
8/15/2021 9:00,55.2,,,,,
8/15/2021 9:15,60.66666667,,,,,
8/15/2021 9:30,55.2,,,,,
8/15/2021 9:45,56.6,,,,,
8/15/2021 10:00,54,,,,,
8/15/2021 10:15,52.26666667,,,,,
8/15/2021 10:30,59.6,,,,,
8/15/2021 10:45,58.4,,,,,
8/15/2021 11:00,59.93333333,,,,,
8/15/2021 11:15,62.06666667,,,,,
8/15/2021 11:30,61.46666667,,,,,
8/15/2021 11:45,64.46666667,,,,,
8/15/2021 12:00,50.53333333,,,,,
8/15/2021 12:15,59.26666667,,,,,
8/15/2021 12:30,58.6,,,,,
8/15/2021 12:45,52.4,,,,,
8/15/2021 13:00,43.6,,,,,
8/15/2021 13:15,50.93333333,,,,,
8/15/2021 13:30,53.4,,,,,
8/15/2021 13:45,56.2,,,,,
8/15/2021 14:00,56.53333333,,,,,
8/15/2021 14:15,62.13333333,,,,,
8/15/2021 14:30,60.13333333,,,,,
8/15/2021 14:45,63.46666667,,,,,
8/15/2021 15:00,64.26666667,,,,,
8/15/2021 15:15,58.53333333,,,,,
8/15/2021 15:30,62.26666667,,,,,
8/15/2021 15:45,62.6,,,,,
8/15/2021 16:00,52.13333333,,,,,
8/15/2021 16:15,42.86666667,,,,,
8/15/2021 16:30,52,,,,,
8/15/2021 16:45,49.4,,,,,
8/15/2021 17:00,45.33333333,,,,,
8/15/2021 17:15,48.73333333,,,,,
8/15/2021 17:30,35.2,,,,,
8/15/2021 17:45,34.33333333,,,,,
8/15/2021 18:00,31.8,,,,,
8/15/2021 18:15,27.53333333,,,,,
8/15/2021 18:30,24,,,,,
8/15/2021 18:45,28.93333333,,,,,
8/15/2021 19:00,29.46666667,,,,,
8/15/2021 19:15,31.53333333,,,,,
8/15/2021 19:30,33.13333333,,,,,
8/15/2021 19:45,31.46666667,,,,,
8/15/2021 20:00,23.13333333,,,,,
8/15/2021 20:15,19.13333333,,,,,
8/15/2021 20:30,18.6,,,,,
8/15/2021 20:45,19.46666667,,,,,
8/15/2021 21:00,18.06666667,,,,,
8/15/2021 21:15,23.46666667,,,,,
8/15/2021 21:30,21.4,,,,,
8/15/2021 21:45,18.53333333,,,,,
8/15/2021 22:00,21.46666667,,,,,
8/15/2021 22:15,13.2,,,,,
8/15/2021 22:30,10.06666667,,,,,
8/15/2021 22:45,8.6,,,,,
8/15/2021 23:00,10.46666667,,,,,
8/15/2021 23:15,11.66666667,,,,,
8/15/2021 23:30,18.13333333,,,,,
8/15/2021 23:45,19.13333333,,,,,
8/16/2021 0:00,21.86666667,,,,,
8/16/2021 0:15,,22.33333333,21.00535347,20.2683217,19.8543343,19.116041
8/16/2021 0:30,,20.93333333,20.83919827,22.38698951,18.81589402,19.95207
8/16/2021 0:45,,20.8,18.93097751,21.38397274,18.49034522,20.196495
8/16/2021 1:00,,23.4,14.51748082,16.52709606,19.01707365,25.563908
8/16/2021 1:15,,20.86666667,17.66825323,20.88613658,20.03882787,26.060385
8/16/2021 1:30,,22.46666667,19.67473093,22.63650269,20.99720974,26.463871
8/16/2021 1:45,,24,16.98757212,19.16326395,21.48427068,26.242495
8/16/2021 2:00,,23.66666667,19.02258158,21.76446375,21.42527885,25.334711
8/16/2021 2:15,,14.26666667,15.39332095,17.34327956,21.02112428,23.953352
8/16/2021 2:30,,19.2,17.59755045,19.50717598,20.54173324,24.288061
8/16/2021 2:45,,18.4,15.94311789,18.87289441,20.13318587,23.933687
8/16/2021 3:00,,22.13333333,16.55844517,18.04986326,19.7614067,21.372618
8/16/2021 3:15,,21.2,17.99538895,18.87199672,19.31077572,21.338537
8/16/2021 3:30,,23.73333333,17.6104225,18.30402853,18.75309135,20.574932
8/16/2021 3:45,,18.8,18.19992842,17.50270467,18.25407515,16.773003
8/16/2021 4:00,,18.93333333,16.52163103,17.30630236,18.1183365,21.242506
8/16/2021 4:15,,20.26666667,16.02353137,16.78582882,18.58097737,21.208426
8/16/2021 4:30,,20.33333333,15.71302711,19.21823393,19.57956111,21.533833
8/16/2021 4:45,,15.4,19.66498583,20.5326894,20.69431092,20.48589
8/16/2021 5:00,,21.13333333,17.38169084,19.43422499,21.35888212,17.15675
8/16/2021 5:15,,22.13333333,19.42468659,19.86304878,21.24393067,17.028337
8/16/2021 5:30,,17.2,18.1809779,18.12797604,20.53766551,16.393713
8/16/2021 5:45,,19.33333333,19.25881968,18.4303152,19.85708116,14.827108
8/16/2021 6:00,,17.86666667,19.20981129,17.84566676,19.77124219,13.717185
8/16/2021 6:15,,23.53333333,16.97953057,18.98175961,20.25477599,13.747146
8/16/2021 6:30,,19.93333333,16.42644282,18.36009301,20.54247888,16.05852
8/16/2021 6:45,,15.93333333,13.27851773,13.940519,19.63954356,15.473791
8/16/2021 7:00,,9.333333333,13.32747099,14.07106681,17.24748488,14.390148
8/16/2021 7:15,,13.2,13.17491035,13.35279089,14.44721187,14.507336
8/16/2021 7:30,,13.66666667,12.29649735,12.92246415,13.5064089,15.649033
8/16/2021 7:45,,19.8,11.76375991,13.19831485,16.72079855,15.891553
8/16/2021 8:00,,21.93333333,15.51950704,16.82713164,24.91931921,12.711455
8/16/2021 8:15,,14.86666667,35.60095152,36.87636561,36.62426806,18.324432
8/16/2021 8:30,,48.86666667,46.34571551,49.86095316,48.53051707,40.409916
8/16/2021 8:45,,60.93333333,49.28647297,54.36927685,57.12175626,42.89543
8/16/2021 9:00,,51.93333333,44.663769,49.2840518,60.45968399,43.610775
8/16/2021 9:15,,59.13333333,46.09933238,51.34164576,59.04040897,43.358574
8/16/2021 9:30,,55.2,43.83181993,48.01789732,55.23433461,42.90481
8/16/2021 9:45,,46.46666667,43.88344384,48.87032607,51.76879274,44.59233
8/16/2021 10:00,,40.66666667,41.29683004,45.61157914,50.29446293,41.961
8/16/2021 10:15,,43.53333333,37.59951747,43.90387063,50.89563294,40.914185
8/16/2021 10:30,,44.66666667,42.20438484,47.73398133,52.64321919,41.746304
8/16/2021 10:45,,43.66666667,42.98128756,47.98082221,54.55761896,42.502956
8/16/2021 11:00,,44,42.54336422,49.07550962,56.19120116,47.13898
8/16/2021 11:15,,55,46.11324231,53.09084859,57.51285487,49.19069
8/16/2021 11:30,,53.33333333,46.52182935,52.22848978,58.42826927,48.890923
8/16/2021 11:45,,55.13333333,48.4357099,54.54469197,58.53896057,50.284027
8/16/2021 12:00,,53.93333333,41.01868444,46.41073515,57.43305214,42.623936
8/16/2021 12:15,,53.73333333,40.96510457,46.8887975,55.22782002,41.819977
8/16/2021 12:30,,49.4,43.38461052,49.56158796,52.7862274,45.54466
8/16/2021 12:45,,48.93333333,40.10939989,47.30347859,51.28889342,45.77198
8/16/2021 13:00,,51.73333333,37.31899878,42.02392183,51.43457075,44.396683
8/16/2021 13:15,,43.4,39.64133632,46.04322667,52.93069714,44.579994
8/16/2021 13:30,,47.33333333,38.37088244,46.61021433,54.74775155,45.524357
8/16/2021 13:45,,42.4,41.25324494,48.58485242,55.97641986,45.75168
8/16/2021 14:00,,50.33333333,42.84302839,49.44813531,56.58298193,50.38165
8/16/2021 14:15,,52.66666667,46.60763533,52.80769781,57.39503763,51.32863
8/16/2021 14:30,,49.2,45.71340273,52.72751631,59.27454153,51.666603
8/16/2021 14:45,,47.46666667,46.3648422,53.81783517,62.1437926,51.822605
8/16/2021 15:00,,51.2,48.07588949,54.89843434,64.71684787,54.643105
8/16/2021 15:15,,59.73333333,45.29452049,54.5662717,65.26095235,55.90254
8/16/2021 15:30,,54.2,47.08965975,54.72262515,62.87207792,54.809223
8/16/2021 15:45,,51.8,47.08713594,55.07160597,58.27857234,54.912937
8/16/2021 16:00,,49.86666667,40.35047459,46.15815283,53.49244715,42.227932
8/16/2021 16:15,,40.53333333,35.61388856,40.04984966,50.4940171,38.86165
8/16/2021 16:30,,42.33333333,36.72127223,42.8626776,49.88862302,40.83753
8/16/2021 16:45,,42.06666667,36.37244679,44.05682771,50.5190018,41.609455
8/16/2021 17:00,,41.33333333,36.36910332,43.42487667,50.3137223,44.447643
8/16/2021 17:15,,39.73333333,37.16756372,44.14243504,47.74540881,43.457504
8/16/2021 17:30,,31.33333333,26.89629959,32.95130331,42.85397612,34.8532
8/16/2021 17:45,,27.13333333,27.35188269,30.46758024,37.15529856,31.040928
8/16/2021 18:00,,36.46666667,23.13960619,27.77072417,32.59017899,28.50878
8/16/2021 18:15,,27.53333333,21.20892425,25.97211212,30.32157768,27.18816
8/16/2021 18:30,,19.2,19.04231591,24.41396729,30.194917,26.051674
8/16/2021 18:45,,20.86666667,21.76733874,26.9094093,31.10087173,25.694616
8/16/2021 19:00,,26.46666667,21.3897285,26.58283059,31.81930439,27.618952
8/16/2021 19:15,,25.6,21.1102381,26.5369573,31.67946167,25.290283
8/16/2021 19:30,,29.73333333,21.82639586,26.45159164,30.66139286,23.709156
8/16/2021 19:45,,25.4,21.47584561,24.94628847,29.07107934,23.352098
8/16/2021 20:00,,23.33333333,18.26465939,22.99554403,27.20581889,23.425165
8/16/2021 20:15,,20.53333333,17.82271638,20.51956485,25.29593296,21.423214
8/16/2021 20:30,,19.86666667,14.46510612,17.42008874,23.65101527,17.045746
8/16/2021 20:45,,11.06666667,15.84183864,18.08701367,22.71524113,16.688688
8/16/2021 21:00,,12,15.34303625,17.81243109,22.84816795,18.417965
8/16/2021 21:15,,12.13333333,16.12600262,19.22130919,23.96859896,19.063679
8/16/2021 21:30,,13.4,19.19849486,20.78837865,25.40822075,19.236902
8/16/2021 21:45,,23.4,18.30954367,20.96833673,26.20302413,19.63125
8/16/2021 22:00,,21.86666667,16.48735588,19.85574631,25.6898308,24.594147
8/16/2021 22:15,,27.33333333,13.87721448,17.40718176,23.9840828,24.719198
8/16/2021 22:30,,22.8,11.46018346,15.09157227,21.95656383,25.206066
8/16/2021 22:45,,22.46666667,10.55533309,14.3728172,20.68617804,24.894398
8/16/2021 23:00,,21.26666667,14.69166711,15.50691856,20.76132897,19.69199
8/16/2021 23:15,,20.86666667,13.82138627,14.29735784,21.91995302,19.535181
8/16/2021 23:30,,21.53333333,15.92748148,17.53235841,23.26825275,19.422163
8/16/2021 23:45,,31.8,15.39313004,18.1203226,23.90011013,19.499485
8/17/2021 0:00,,35.46666667,14.10853847,18.93851697,23.47187826,19.056791
